date,spy_close,spy_return,vix_close,rv_5d,rv_21d
2024-11-22,452.66,0.004375,17.5,0.1529,0.1555
2024-11-25,458.18,0.012107,16.43,0.1503,0.1527
2024-11-26,455.73,-0.00535,16.44,0.137,0.1536
2024-11-27,454.9,-0.001828,18.01,0.1127,0.1497
2024-11-28,449.08,-0.012876,17.75,0.1508,0.155
2024-11-29,442.86,-0.013954,17.8,0.1671,0.1609
2024-12-02,447.38,0.01015,18.36,0.1551,0.1663
2024-12-03,454.9,0.016675,16.89,0.2165,0.167
2024-12-04,454.69,-0.000464,17.64,0.2162,0.1642
2024-12-05,460.38,0.012442,16.49,0.1956,0.1677
2024-12-06,462.57,0.00474,17.25,0.1063,0.1628
2024-12-09,459.18,-0.007341,16.69,0.1534,0.1648
2024-12-10,461.36,0.004737,16.95,0.1161,0.146
2024-12-11,470.15,0.018856,17.65,0.1559,0.1576
2024-12-12,470.13,-3e-05,15.85,0.1519,0.1561
2024-12-13,479.23,0.019176,19.23,0.186,0.1615
2024-12-16,464.59,-0.031037,16.01,0.3255,0.2007
2024-12-17,469.38,0.010263,15.72,0.3304,0.1992
2024-12-18,470.06,0.001445,18.56,0.301,0.1961
2024-12-19,468.56,-0.003188,18.1,0.3019,0.1927
2024-12-20,469.27,0.001501,17.9,0.2503,0.1919
2024-12-23,458.39,-0.023451,18.05,0.1998,0.2107
2024-12-24,457.37,-0.002236,17.28,0.1655,0.2066
2024-12-25,459.51,0.004685,16.11,0.175,0.2063
2024-12-26,467.92,0.018135,17.38,0.2391,0.215
2024-12-27,465.21,-0.005819,16.36,0.2413,0.2105
2024-12-30,460.9,-0.009302,18.07,0.1721,0.2067
2024-12-31,458.32,-0.005621,16.67,0.1778,0.206
2025-01-01,463.57,0.011385,15.93,0.1936,0.2018
2025-01-02,465.58,0.004345,16.54,0.1364,0.202
2025-01-03,462.82,-0.005957,17.43,0.1367,0.1991
2025-01-06,465.86,0.006559,16.03,0.1218,0.1997
2025-01-07,466.59,0.001565,15.72,0.1021,0.1978
2025-01-08,472.24,0.012024,17.04,0.1052,0.2012
2025-01-09,468.46,-0.008025,16.94,0.1334,0.1927
2025-01-10,466.81,-0.003532,16.03,0.126,0.193
2025-01-13,464.81,-0.004305,16.03,0.1233,0.1798
2025-01-14,456.9,-0.017162,17.02,0.1677,0.1559
2025-01-15,458.71,0.003953,14.94,0.1221,0.1517
2025-01-16,460.33,0.003533,14.98,0.1357,0.1523
2025-01-17,460.54,0.000461,15.79,0.1386,0.1522
2025-01-20,459.43,-0.002415,16.37,0.1379,0.152
2025-01-21,451.88,-0.016584,17.1,0.1339,0.1407
2025-01-22,449.78,-0.004648,18.36,0.1224,0.1413
2025-01-23,448.11,-0.003713,17.61,0.104,0.1402
2025-01-24,444.0,-0.009227,16.4,0.0918,0.1237
2025-01-27,443.32,-0.001535,16.57,0.0949,0.1231
2025-01-28,445.65,0.005249,15.33,0.084,0.123
2025-01-29,456.03,0.023034,16.81,0.1978,0.1486
2025-01-30,457.17,0.002495,16.48,0.1898,0.1429
2025-01-31,458.77,0.003491,17.22,0.1516,0.1426
2025-02-03,458.55,-0.000493,15.84,0.1482,0.1413
2025-02-04,448.29,-0.022625,17.55,0.2577,0.1582
2025-02-05,448.32,8.2e-05,18.76,0.1725,0.1579
2025-02-06,448.83,0.001123,16.78,0.1698,0.1501
2025-02-07,462.48,0.029959,17.62,0.2968,0.1857
2025-02-10,461.6,-0.001908,17.97,0.2976,0.1855
2025-02-11,463.45,0.004019,16.66,0.2096,0.1856
2025-02-12,463.45,-1.7e-05,17.27,0.2098,0.175
2025-02-13,457.18,-0.013624,17.09,0.2554,0.1813
2025-02-14,463.67,0.014114,17.25,0.1594,0.1876
2025-02-17,468.06,0.009423,16.22,0.1686,0.1902
2025-02-18,472.72,0.009892,16.96,0.1763,0.1924
2025-02-19,467.77,-0.010513,17.6,0.2046,0.1863
2025-02-20,475.9,0.017234,18.79,0.1723,0.1923
2025-02-21,468.15,-0.016422,18.1,0.2308,0.2024
2025-02-24,471.65,0.007442,19.54,0.2271,0.1989
2025-02-25,484.41,0.026685,16.22,0.289,0.2144
2025-02-26,478.87,-0.011486,18.25,0.2923,0.2212
2025-02-27,475.82,-0.006396,17.37,0.2761,0.2116
2025-02-28,476.58,0.001596,19.74,0.2354,0.2116
2025-03-03,473.9,-0.005642,16.14,0.2401,0.2131
2025-03-04,465.35,-0.018208,16.17,0.1168,0.2238
2025-03-05,465.92,0.001223,16.43,0.1275,0.2071
2025-03-06,460.2,-0.012348,14.52,0.1368,0.2128
2025-03-07,463.01,0.006083,16.4,0.1562,0.2135
2025-03-10,458.11,-0.010633,16.11,0.1599,0.1903
2025-03-11,466.9,0.018999,17.05,0.2043,0.2017
2025-03-12,462.72,-0.008999,17.27,0.2152,0.2039
2025-03-13,461.12,-0.003465,19.11,0.1949,0.2043
2025-03-14,465.83,0.010162,18.05,0.2044,0.2012
2025-03-17,459.18,-0.01437,16.27,0.2192,0.2018
2025-03-18,460.62,0.00313,15.79,0.1539,0.1991
2025-03-19,468.09,0.016086,17.56,0.1884,0.2044
2025-03-20,459.33,-0.01889,15.46,0.2423,0.2115
2025-03-21,460.53,0.002616,19.23,0.2263,0.2016
2025-03-24,462.15,0.003519,18.41,0.2002,0.1948
2025-03-25,466.7,0.009782,16.34,0.2094,0.1962
2025-03-26,460.01,-0.014443,14.89,0.1976,0.1749
2025-03-27,452.95,-0.015445,18.65,0.1815,0.178
2025-03-28,455.98,0.006663,16.86,0.1911,0.1803
2025-03-31,457.79,0.003964,18.43,0.192,0.1811
2025-04-01,459.36,0.003406,15.03,0.1718,0.1814
2025-04-02,461.45,0.004557,16.12,0.144,0.1719
2025-04-03,457.89,-0.00776,16.72,0.0902,0.1736
2025-04-04,459.35,0.003187,16.77,0.0824,0.1689
2025-04-07,461.15,0.003917,16.18,0.0823,0.1681
2025-04-08,457.4,-0.008172,17.43,0.1034,0.1663
2025-04-09,467.94,0.022789,15.55,0.1997,0.1722
2025-04-10,470.8,0.006086,16.51,0.1764,0.1701
2025-04-11,464.3,-0.013896,16.95,0.2257,0.1771
2025-04-14,468.16,0.008279,17.44,0.2299,0.1759
2025-04-15,462.9,-0.011296,17.74,0.2404,0.173
2025-04-16,467.48,0.009845,15.57,0.1815,0.1759
2025-04-17,474.22,0.014303,15.09,0.207,0.174
2025-04-18,469.76,-0.009448,18.52,0.1878,0.1634
2025-04-21,475.41,0.011961,17.42,0.1967,0.1677
2025-04-22,477.96,0.005353,16.07,0.1501,0.1681
2025-04-23,482.89,0.010265,18.7,0.1507,0.1684
2025-04-24,494.21,0.023162,17.12,0.1881,0.1735
2025-04-25,492.95,-0.002545,18.28,0.1496,0.1611
2025-04-28,488.71,-0.008645,17.02,0.1943,0.1666
2025-04-29,483.71,-0.010274,19.4,0.2245,0.1731
2025-04-30,479.19,-0.00939,19.08,0.2244,0.1779
2025-05-01,478.94,-0.000525,16.61,0.0702,0.1779
2025-05-02,481.1,0.004494,18.03,0.1036,0.1747
2025-05-05,482.89,0.00372,17.6,0.1121,0.1747
2025-05-06,487.9,0.010326,18.49,0.1162,0.1768
2025-05-07,488.18,0.000556,15.66,0.0675,0.1726
2025-05-08,496.96,0.017842,17.54,0.1084,0.1662
2025-05-09,495.59,-0.002776,17.99,0.1306,0.1669
2025-05-12,512.23,0.033042,14.93,0.2285,0.187
2025-05-13,516.3,0.007908,15.54,0.2301,0.1869
2025-05-14,511.22,-0.009886,14.51,0.2695,0.1854
2025-05-15,504.9,-0.012451,16.74,0.2932,0.1936
2025-05-16,508.03,0.00619,17.93,0.2886,0.19
2025-05-19,506.87,-0.002282,18.89,0.1456,0.1855
2025-05-20,511.44,0.008968,17.17,0.1503,0.1841
2025-05-21,514.56,0.006079,19.03,0.1392,0.1842
2025-05-22,514.31,-0.000474,15.36,0.0765,0.183
2025-05-23,509.32,-0.009762,15.02,0.1169,0.1725
2025-05-26,500.34,-0.017778,16.7,0.1767,0.1846
2025-05-27,497.87,-0.004958,17.18,0.1439,0.1827
2025-05-28,503.21,0.010677,16.73,0.1685,0.181
2025-05-29,504.71,0.002969,14.23,0.1753,0.1763
2025-05-30,497.42,-0.014549,16.67,0.1884,0.1857
2025-06-02,498.65,0.002478,15.22,0.1512,0.1855
2025-06-03,501.17,0.005024,17.56,0.15,0.1857
2025-06-04,496.08,-0.010206,17.18,0.1409,0.1874
2025-06-05,497.19,0.002245,15.62,0.1391,0.1875
2025-06-06,497.74,0.001099,16.12,0.0945,0.1771
2025-06-09,491.15,-0.013316,15.41,0.1297,0.1829
2025-06-10,493.46,0.004693,16.61,0.1284,0.1385
2025-06-11,497.0,0.007129,17.8,0.1269,0.1378
2025-06-12,503.7,0.013397,15.56,0.1582,0.1441
2025-06-13,510.31,0.013046,17.3,0.173,0.145
2025-06-16,502.15,-0.016132,16.2,0.1919,0.1543
2025-06-17,496.73,-0.010854,15.93,0.2202,0.1583
2025-06-18,500.0,0.00658,16.72,0.2193,0.1566
2025-06-19,503.3,0.006565,15.62,0.1999,0.1569
2025-06-20,506.62,0.006581,16.21,0.177,0.1591
2025-06-23,530.81,0.046633,15.9,0.3373,0.225
2025-06-24,534.67,0.007251,19.69,0.2832,0.2137
2025-06-25,542.22,0.014027,17.38,0.2745,0.2148
2025-06-26,548.68,0.011848,16.5,0.2652,0.2153
2025-06-27,553.21,0.008217,17.59,0.2613,0.2157
2025-06-30,551.34,-0.003383,17.06,0.1066,0.2066
2025-07-01,556.61,0.009508,16.79,0.1074,0.207
2025-07-02,551.69,-0.008874,17.91,0.1439,0.2127
2025-07-03,550.35,-0.002442,18.12,0.1261,0.2076
2025-07-04,547.37,-0.005424,16.63,0.1104,0.2105
2025-07-07,548.13,0.001382,15.95,0.1121,0.2104
2025-07-08,563.79,0.028176,16.57,0.2351,0.215
2025-07-09,551.52,-0.022007,14.33,0.2879,0.2367
2025-07-10,556.3,0.008635,15.25,0.2928,0.2369
2025-07-11,545.86,-0.018953,18.81,0.3284,0.2493
2025-07-14,542.99,-0.005263,19.14,0.3294,0.2488
2025-07-15,550.35,0.013467,16.9,0.2523,0.2412
2025-07-16,551.0,0.001171,17.87,0.2014,0.2352
2025-07-17,544.14,-0.012533,17.59,0.1991,0.2427
2025-07-18,539.7,-0.008184,20.92,0.1605,0.2461
2025-07-21,544.34,0.008555,18.6,0.1737,0.2465
2025-07-22,539.8,-0.008364,16.81,0.136,0.1928
2025-07-23,541.42,0.002998,15.69,0.1408,0.1916
2025-07-24,541.94,0.000947,14.86,0.1169,0.1853
2025-07-25,537.93,-0.007419,16.91,0.1139,0.1817
2025-07-28,552.17,0.026127,16.04,0.2212,0.2025
2025-07-29,556.61,0.008007,15.2,0.1982,0.204
2025-07-30,543.46,-0.023902,16.33,0.2939,0.2177
2025-07-31,544.9,0.002637,15.77,0.2942,0.2162
2025-08-01,540.81,-0.007541,19.09,0.2944,0.2175
2025-08-04,546.58,0.010629,18.13,0.2233,0.2203
2025-08-05,541.63,-0.00911,17.07,0.2073,0.2224
2025-08-06,541.1,-0.000977,18.85,0.1272,0.1963
2025-08-07,544.61,0.00646,17.18,0.1364,0.1841
2025-08-08,550.51,0.010789,16.06,0.1356,0.1856
2025-08-11,542.86,-0.014004,18.76,0.1644,0.1801
2025-08-12,540.9,-0.003614,17.54,0.1522,0.1796
2025-08-13,538.04,-0.005299,15.43,0.1565,0.1733
2025-08-14,534.05,-0.00744,16.46,0.1447,0.1744
2025-08-15,545.71,0.021585,15.84,0.2164,0.1868
2025-08-18,548.58,0.00526,15.2,0.1892,0.1851
